epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.786,1.33152,2.27017,1.30225,0.39339,0.39548,0.31119,0.18693,1.36863,2.21682,1.24632,0.000415928,0.000415928,0.000415928
2,785.586,1.37619,1.95802,1.33428,0.51624,0.41915,0.43209,0.26502,1.32497,1.82246,1.26917,0.000557838,0.000557838,0.000557838
3,1153.28,1.3081,1.76519,1.29322,0.60691,0.47798,0.5181,0.34969,1.17787,1.54092,1.13968,0.000424749,0.000424749,0.000424749
